Real world position (X: -0.04, Z: 0.22)
Clicked at pixel: (136, 329)
Real world position (X: -0.09, Z: 0.21)
Clicked at pixel: (354, 258)
Real world position (X: 0.01, Z: 0.34)
Clicked at pixel: (546, 280)
Real world position (X: 0.11, Z: 0.29)
Clicked at pixel: (184, 266)
Real world position (X: -0.09, Z: 0.32)
Clicked at pixel: (352, 203)
Real world position (X: 0.01, Z: 0.53)
Clicked at pixel: (243, 187)
Real world position (X: -0.10, Z: 0.62)
Clicked at pixel: (426, 148)
Real world position (X: 0.11, Z: 0.94)
